                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5101,                 5.8209,                 3.7631,                0.00219,                0.63889,                0.00236,                0.00055,                 2.4492,                 4.6206,                 2.7173,                  2e-05,                  2e-05,                  2e-05
                      2,                  2.803,                 4.4739,                 3.0289,                0.00229,                0.66667,                  0.002,                0.00059,                  2.415,                 4.7687,                 2.6813,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 3.1095,                 4.5205,                 2.9476,                0.00157,                0.45833,                0.00173,                0.00045,                 2.5092,                 4.8438,                 2.7066,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 3.5865,                 7.1111,                 3.1575,                 0.0009,                0.26389,                0.00072,                0.00014,                 2.4748,                 5.2468,                 2.7239,             0.00013584,             0.00013584,             0.00013584
                      5,                 2.7524,                 4.3013,                 2.5748,                0.00162,                0.47222,                0.00171,                0.00044,                 2.5599,                 5.1182,                 2.7042,             0.00017287,             0.00017287,             0.00017287
                      6,                 2.8453,                 4.5181,                 2.7784,                  0.003,                  0.875,                0.00428,                0.00135,                 2.1387,                 4.6617,                 2.3789,             0.00020911,             0.00020911,             0.00020911
                      7,                 2.0648,                 4.1513,                 2.1423,                0.00333,                0.97222,                0.01692,                0.00498,                 1.8246,                 4.4575,                 2.1011,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.9126,                 3.9236,                 1.7864,                0.00333,                0.97222,                0.38249,                0.10651,                 1.7056,                 4.0247,                 1.8572,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.6729,                  3.589,                 1.6339,                0.00333,                0.97222,                0.52378,                 0.1366,                 1.6967,                 3.9152,                 1.7362,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.6041,                 3.6075,                 1.5811,                0.00333,                0.97222,                0.54674,                0.14576,                 1.6787,                 3.7748,                   1.65,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.7301,                 3.1796,                 1.6053,                0.00333,                0.97222,                0.53817,                0.13482,                  1.722,                 3.7831,                 1.7396,             0.00037842,             0.00037842,             0.00037842
                     12,                 2.7015,                  4.673,                  2.094,                0.00333,                0.97222,                0.51366,                0.12504,                 1.7696,                  3.824,                 1.8364,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.9549,                 2.7631,                 1.5845,                0.00333,                0.97222,                0.58037,                0.14639,                 1.8669,                 3.7862,                 1.9459,              0.0004406,              0.0004406,              0.0004406
                     14,                  2.798,                 5.9179,                 2.2946,                0.00333,                0.97222,                0.52645,                0.15563,                 1.7651,                 3.7062,                 1.8475,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.5963,                 2.9015,                 1.5613,                0.00333,                0.97222,                0.42194,                0.14305,                 1.6435,                 3.7614,                 1.6516,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.8182,                 3.0408,                  1.428,                0.00333,                0.97222,                0.48275,                0.15152,                 1.6785,                 3.7344,                 1.6129,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.6896,                 4.3901,                 1.5023,                0.00319,                0.93056,                0.61165,                0.21339,                 1.8383,                 3.7508,                 1.6084,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.6021,                 2.5396,                 1.3438,                 0.0029,                0.84722,                0.40613,                0.16117,                 2.1881,                 3.9804,                 1.8101,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.5409,                 2.3909,                 1.4538,                0.00281,                0.81944,                 0.4786,                 0.1556,                 2.5293,                 4.1092,                 2.1134,             0.00060813,             0.00060813,             0.00060813
                     20,                   1.81,                 2.4703,                  1.534,                0.00295,                0.86111,                0.41354,                0.11147,                 2.6524,                 4.3601,                 2.2895,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.6158,                 2.3178,                 1.5344,                0.00276,                0.80556,                0.16031,                 0.0444,                 2.8993,                 4.7064,                 2.9159,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.9958,                 2.6963,                 1.6647,                0.00314,                0.91667,                0.19557,                0.05176,                 2.4055,                  4.118,                 2.1887,             0.00068121,             0.00068121,             0.00068121
                     23,                 1.8774,                 2.2686,                 1.7478,                0.31509,                0.03863,                0.16016,                 0.0503,                 2.3573,                  4.011,                 2.1659,             0.00070398,             0.00070398,             0.00070398
                     24,                 1.9547,                 2.3613,                 1.6847,                0.00319,                0.93056,                0.07141,                0.02164,                 2.4164,                 4.1956,                 2.1221,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.2577,                 2.0773,                 1.3085,                0.00314,                0.91667,                0.06966,                 0.0236,                 2.3163,                 4.3325,                 2.1418,             0.00074715,             0.00074715,             0.00074715
                     26,                  1.627,                 3.0185,                 1.5964,                0.47979,                0.06944,                0.16084,                0.06458,                 2.4617,                 4.4825,                 2.2762,             0.00076755,             0.00076755,             0.00076755
                     27,                 2.0082,                  2.708,                 2.0362,                0.54899,                0.16915,                0.20242,                0.07226,                 2.4828,                 4.1827,                 2.2413,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.4937,                  2.081,                 1.4922,                0.54899,                0.16915,                0.20242,                0.07226,                 2.4828,                 4.1827,                 2.2413,             0.00080597,             0.00080597,             0.00080597
                     29,                  1.544,                 1.9831,                 1.4311,                0.65709,                0.19444,                0.36263,                 0.1355,                 2.2456,                 4.0128,                 2.1389,             0.00082399,             0.00082399,             0.00082399
                     30,                  1.586,                 2.0821,                 1.3671,                0.28328,                0.20318,                 0.2304,                0.06824,                 2.4601,                 3.9289,                 2.7687,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.5952,                 2.5523,                  1.534,                0.28328,                0.20318,                 0.2304,                0.06824,                 2.4601,                 3.9289,                 2.7687,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.6281,                 2.8792,                 1.4046,                0.78504,                0.35516,                0.47448,                 0.2089,                 2.1565,                 3.6139,                 2.0657,             0.00087331,             0.00087331,             0.00087331
                     33,                0.79661,                 4.3604,                0.69299,                0.91249,                0.43454,                0.58082,                0.24772,                 2.1428,                 3.3459,                 2.0038,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.3081,                 2.0621,                 1.3346,                0.91249,                0.43454,                0.58082,                0.24772,                 2.1428,                 3.3459,                 2.0038,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.1114,                 1.8784,                 1.1779,                0.32261,                0.40278,                0.33144,                0.12567,                 2.3799,                 3.5892,                 2.4148,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.5506,                 2.7324,                 1.5675,                0.17022,                   0.25,                0.13156,                0.03462,                 2.3745,                 3.8827,                 2.2467,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.6726,                 2.1675,                 1.5768,                0.17022,                   0.25,                0.13156,                0.03462,                 2.3745,                 3.8827,                 2.2467,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.5035,                  2.033,                 1.3077,                0.06799,                0.18056,                0.04271,                0.01389,                 2.5743,                 4.1935,                 2.1124,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.6696,                  2.504,                 1.7739,                0.07762,                0.11111,                 0.0632,                0.02429,                 2.5346,                 4.1904,                 2.0589,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.3552,                 1.8289,                 1.3796,                0.07762,                0.11111,                 0.0632,                0.02429,                 2.5346,                 4.1904,                 2.0589,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.8755,                 2.0743,                  1.519,                0.04927,                0.11111,                 0.0456,                0.01491,                 2.2787,                 4.1447,                 2.3123,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.7041,                 1.5376,                 1.2823,                0.05279,                0.22222,                0.03122,                0.01047,                 2.1406,                 4.2033,                 2.4131,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.3127,                 1.6726,                 1.2365,                0.05279,                0.22222,                0.03122,                0.01047,                 2.1406,                 4.2033,                 2.4131,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.6775,                 2.2147,                 1.6423,                0.15014,                0.29167,                0.11209,                0.03389,                 1.9628,                  3.486,                 1.9259,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.6857,                 4.1028,                 1.8923,                0.15014,                0.29167,                0.11209,                0.03389,                 1.9628,                  3.486,                 1.9259,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.3306,                 2.1822,                 1.2769,                0.29339,                0.33333,                0.27613,                0.09824,                 1.9846,                 3.1069,                 2.0329,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.7924,                 1.8617,                 1.3538,                0.29339,                0.33333,                0.27613,                0.09824,                 1.9846,                 3.1069,                 2.0329,               0.001013,               0.001013,               0.001013
                     48,                 1.7371,                 2.6189,                 1.6256,                 0.4925,                0.45833,                0.35363,                0.11843,                 1.8833,                 3.1191,                 2.0467,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.9719,                 2.2419,                 1.8389,                 0.4925,                0.45833,                0.35363,                0.11843,                 1.8833,                 3.1191,                 2.0467,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.2367,                 1.6215,                 1.2379,                0.53699,                0.41667,                0.41529,                0.13162,                 1.8843,                 3.0244,                 2.2438,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.5385,                 1.8425,                 1.5433,                0.53699,                0.41667,                0.41529,                0.13162,                 1.8843,                 3.0244,                 2.2438,                0.00101,                0.00101,                0.00101
                     52,                 1.5425,                 2.1714,                 1.6012,                0.53185,                0.41667,                0.37944,                0.10793,                 1.8696,                 3.0934,                 2.2832,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.331,                 1.9866,                 1.2844,                0.53185,                0.41667,                0.37944,                0.10793,                 1.8696,                 3.0934,                 2.2832,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.386,                 1.5341,                 1.3402,                0.72347,                    0.5,                 0.5806,                0.16246,                 1.9175,                 2.6483,                 2.2582,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.7899,                 2.0812,                 1.6627,                0.72347,                    0.5,                 0.5806,                0.16246,                 1.9175,                 2.6483,                 2.2582,              0.0009308,              0.0009308,              0.0009308
                     56,                  1.391,                 1.8099,                 1.4702,                0.76821,                0.52778,                 0.6675,                0.28335,                 1.8541,                 2.3913,                 2.1973,               0.000911,               0.000911,               0.000911
                     57,                 1.2389,                 1.5011,                 1.3366,                0.76821,                0.52778,                 0.6675,                0.28335,                 1.8541,                 2.3913,                 2.1973,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1105,                 1.5862,                 1.1408,                0.75961,                0.57057,                0.66352,                0.29476,                 1.8267,                 2.2816,                 2.2058,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.5258,                 1.9536,                 1.6966,                0.75961,                0.57057,                0.66352,                0.29476,                 1.8267,                 2.2816,                 2.2058,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4674,                 2.3507,                 1.3715,                0.64051,                  0.625,                 0.6492,                0.24651,                 1.8063,                 2.3731,                   2.15,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1835,                 1.6161,                 1.2743,                0.64051,                  0.625,                 0.6492,                0.24651,                 1.8063,                 2.3731,                   2.15,               0.000812,               0.000812,               0.000812
                     62,                0.94509,                 1.5324,                 1.1052,                0.70802,                0.66667,                0.66246,                0.21576,                 1.9366,                 2.4795,                 2.2321,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2657,                 1.9664,                 1.4478,                0.70802,                0.66667,                0.66246,                0.21576,                 1.9366,                 2.4795,                 2.2321,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4804,                 1.8204,                 1.3953,                0.73865,                0.66733,                  0.664,                0.21741,                 2.1643,                 2.4213,                 2.3259,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4449,                 1.6251,                 1.4163,                0.73865,                0.66733,                  0.664,                0.21741,                 2.1643,                 2.4213,                 2.3259,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6704,                 1.8248,                 1.5439,                 0.7999,                0.55521,                0.64273,                0.24369,                 2.1667,                 2.3513,                 2.2236,               0.000713,               0.000713,               0.000713
                     67,                 1.3853,                 1.4679,                 1.2113,                 0.7999,                0.55521,                0.64273,                0.24369,                 2.1667,                 2.3513,                 2.2236,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3905,                 1.4935,                 1.2295,                 0.4367,                0.69444,                0.53483,                0.21972,                  2.061,                 2.4013,                 2.0487,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2115,                 1.4707,                 1.1172,                 0.4367,                0.69444,                0.53483,                0.21972,                  2.061,                 2.4013,                 2.0487,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1748,                 1.7943,                 1.2721,                0.70927,                0.69444,                0.74328,                0.30073,                 2.0857,                 2.0467,                 2.0528,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1295,                 1.3297,                 1.1333,                0.70927,                0.69444,                0.74328,                0.30073,                 2.0857,                 2.0467,                 2.0528,               0.000614,               0.000614,               0.000614
                     72,                 1.7946,                 3.0312,                 1.6223,                0.77018,                0.66667,                0.66269,                0.27043,                 2.1648,                 1.9342,                 2.0827,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3525,                 1.5298,                 1.2528,                0.77018,                0.66667,                0.66269,                0.27043,                 2.1648,                 1.9342,                 2.0827,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0237,                 1.2727,                 1.1318,                0.70817,                0.60672,                0.61052,                0.25301,                  2.265,                 2.0152,                 2.1481,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0021,                 1.2159,                  1.079,                0.70817,                0.60672,                0.61052,                0.25301,                  2.265,                 2.0152,                 2.1481,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4488,                 2.4926,                 1.5471,                0.67459,                0.52778,                0.59438,                0.27318,                 2.1251,                 2.0995,                 2.0614,               0.000515,               0.000515,               0.000515
                     77,                  1.153,                 1.6427,                 1.1921,                0.67459,                0.52778,                0.59438,                0.27318,                 2.1251,                 2.0995,                 2.0614,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3398,                 1.3004,                 1.1673,                0.70418,                0.58333,                0.63252,                0.28655,                   2.01,                 2.0934,                 2.0117,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4293,                 1.3516,                 1.2131,                0.70418,                0.58333,                0.63252,                0.28655,                   2.01,                 2.0934,                 2.0117,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0939,                 1.2738,                 1.1587,                0.73819,                0.65278,                0.72667,                0.33488,                 1.8882,                 1.9619,                 1.8999,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.6588,                 1.4721,                 1.7077,                0.73819,                0.65278,                0.72667,                0.33488,                 1.8882,                 1.9619,                 1.8999,               0.000416,               0.000416,               0.000416
                     82,                 1.0853,                 1.5029,                 1.3178,                0.73582,                0.65769,                0.73255,                0.35903,                  1.856,                 1.8475,                 1.8793,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.9216,                 2.0232,                 1.9991,                0.73582,                0.65769,                0.73255,                0.35903,                  1.856,                 1.8475,                 1.8793,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.5297,                 1.3499,                 1.4494,                0.73953,                0.69444,                0.76044,                0.37139,                  1.795,                 1.7628,                 1.8269,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0792,                 1.1185,                 1.2111,                0.73953,                0.69444,                0.76044,                0.37139,                  1.795,                 1.7628,                 1.8269,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3284,                 1.4351,                 1.4347,                0.76364,                0.76389,                0.78292,                0.37869,                  1.808,                 1.7081,                 1.8696,               0.000317,               0.000317,               0.000317
                     87,                 1.5022,                 1.3185,                 1.4795,                0.76364,                0.76389,                0.78292,                0.37869,                  1.808,                 1.7081,                 1.8696,              0.0002972,              0.0002972,              0.0002972
                     88,                0.96822,                 1.1962,                 1.1612,                0.84366,                0.68056,                0.75578,                0.35731,                 1.8523,                 1.7277,                 1.9133,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1912,                 1.3003,                 1.2504,                0.84366,                0.68056,                0.75578,                0.35731,                 1.8523,                 1.7277,                 1.9133,              0.0002576,              0.0002576,              0.0002576
                     90,                0.88283,                 1.1428,                 1.0216,                0.84328,                0.69444,                0.74203,                0.33474,                 1.9938,                 1.7602,                 1.9688,              0.0002378,              0.0002378,              0.0002378
                     91,                0.71275,                 1.1172,                0.90194,                0.84328,                0.69444,                0.74203,                0.33474,                 1.9938,                 1.7602,                 1.9688,               0.000218,               0.000218,               0.000218
                     92,                 1.0645,                 1.3835,                 1.1591,                0.83952,                0.69444,                0.75937,                0.31661,                  2.103,                 1.7281,                 2.0274,              0.0001982,              0.0001982,              0.0001982
                     93,                0.92116,                 1.1768,                 1.0963,                0.83952,                0.69444,                0.75937,                0.31661,                  2.103,                 1.7281,                 2.0274,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2324,                 1.3837,                 1.2868,                 0.8008,                0.72222,                0.76621,                0.32081,                 2.1114,                 1.6137,                 2.0219,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0677,                 1.2222,                 1.0915,                 0.8008,                0.72222,                0.76621,                0.32081,                 2.1114,                 1.6137,                 2.0219,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.3312,                 1.3889,                 1.2926,                0.87912,                   0.75,                 0.7974,                0.35848,                 2.0345,                 1.5321,                 1.9672,               0.000119,               0.000119,               0.000119
                     97,                0.76128,                 1.1386,                0.98883,                0.87912,                   0.75,                 0.7974,                0.35848,                 2.0345,                 1.5321,                 1.9672,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.81946,                 1.3401,                  1.016,                 0.9002,                0.76389,                0.80994,                0.36988,                 1.9673,                 1.4716,                 1.9225,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.86129,                 1.1973,                 1.0385,                 0.9002,                0.76389,                0.80994,                0.36988,                 1.9673,                 1.4716,                 1.9225,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.93571,                 1.2516,                 1.0806,                0.89663,                0.76389,                0.81561,                0.37908,                 1.9349,                 1.4233,                 1.9078,               3.98e-05,               3.98e-05,               3.98e-05
